               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               3.806,              4.3997,              4.3727,             0.40922,               0.225,             0.20795,            0.067847,                   0,                   0,                   0,             0.07006,           0.0033267,           0.0033267
                   1,              3.5479,              3.4714,              4.1519,             0.56553,                0.45,             0.48348,              0.2147,                   0,                   0,                   0,            0.040038,            0.006638,            0.006638
                   2,              3.2069,              3.1007,              3.8728,             0.57325,             0.51494,              0.5776,             0.31562,                   0,                   0,                   0,            0.009994,           0.0099274,           0.0099274
                   3,              2.6913,              2.8148,               3.556,             0.84171,             0.59167,             0.72162,             0.44149,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
                   4,              2.4453,              2.6532,              3.2169,             0.81631,             0.56667,             0.68034,             0.43641,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
                   5,              2.2792,              2.5329,               2.967,             0.83038,               0.625,             0.73215,             0.50072,                   0,                   0,                   0,            0.009868,            0.009868,            0.009868
                   6,              2.1241,              2.3788,              2.8347,             0.83349,             0.67917,             0.78227,             0.53889,                   0,                   0,                   0,            0.009835,            0.009835,            0.009835
                   7,              2.0805,              2.2747,              2.6463,             0.78105,             0.68333,             0.75047,             0.52982,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                   8,              2.0112,              2.1753,              2.5813,             0.86819,             0.72083,             0.81762,             0.58857,                   0,                   0,                   0,            0.009769,            0.009769,            0.009769
                   9,              1.9612,              2.1524,              2.4541,             0.85882,             0.65901,             0.80769,             0.56704,                   0,                   0,                   0,            0.009736,            0.009736,            0.009736
                  10,               1.829,              2.0038,              2.3912,             0.92592,             0.67699,             0.80195,             0.57651,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                  11,              1.8312,               2.045,              2.4128,             0.94396,              0.7018,             0.82853,             0.59481,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                  12,              1.7183,              1.9188,              2.3359,             0.81601,             0.72917,             0.79341,             0.58119,                   0,                   0,                   0,            0.009637,            0.009637,            0.009637
                  13,              1.7302,              1.8462,               2.239,             0.88852,             0.74167,             0.83499,             0.60958,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                  14,              1.7166,              1.8849,              2.2627,             0.84757,             0.77083,             0.83361,             0.60366,                   0,                   0,                   0,            0.009571,            0.009571,            0.009571
                  15,              1.6914,              1.9167,              2.1811,             0.73053,               0.775,             0.72554,             0.52333,                   0,                   0,                   0,            0.009538,            0.009538,            0.009538
                  16,              1.6083,              1.7606,              2.1102,             0.91584,             0.72552,             0.84712,             0.62382,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                  17,              1.6867,               1.815,               2.231,             0.90818,             0.77083,             0.88233,             0.63671,                   0,                   0,                   0,            0.009472,            0.009472,            0.009472
